"kingdom","phylum","class","order","family","genus","species","ID_ASV"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Ancorinidae","unclassified","Ancorinidae sp. 3 JV-2020","ASV1"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 6 JV-2020","ASV100014"
"Metazoa","Porifera","Demospongiae","Haplosclerida","unclassified","unclassified","Haplosclerida sp. 10 JV-2020","ASV100043"
"Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","Neofibularia","Neofibularia hartmani","ASV100045"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 5 JV-2020","ASV101"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Callyspongiidae","Callyspongia","Callyspongia sp. 2 JV-2020","ASV108"
"Metazoa","Porifera","Demospongiae","Suberitida","unclassified","unclassified","Suberitida sp. 1 JV-2020","ASV109"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 2 JV-2020","ASV11"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon sp. 3 JV-2020","ASV110"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 24 JV-2020","ASV113"
"Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp. 5 JV-2020","ASV114"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 3 JV-2020","ASV118"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria sp. 1 JV-2020","ASV12"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale sp. 10 JV-2020","ASV122"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Callyspongiidae","Callyspongia","Callyspongia sp. 1 JV-2020","ASV127"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea cf. pallescens JV-2020","ASV129"
"Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp. 3 JV-2020","ASV13"
"Metazoa","Porifera","Demospongiae","unclassified","unclassified","unclassified","Keratosa sp. 1 JV-2020","ASV132"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 4 JV-2020","ASV137"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 5 JV-2020","ASV14"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 5 JV-2020","ASV140"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria sp. 2 JV-2020","ASV141"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria sp. 5 JV-2020","ASV147"
"Metazoa","Porifera","Demospongiae","Suberitida","unclassified","unclassified","Suberitida sp. 2 JV-2020","ASV150"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon sp. 1 JV-2020","ASV151"
"Metazoa","Porifera","Demospongiae","Haplosclerida","unclassified","unclassified","Haplosclerida sp. 14 JV-2020","ASV163"
"Metazoa","Porifera","Demospongiae","Axinellida","unclassified","unclassified","Axinellida sp. 1 JV-2020","ASV165"
"Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","unclassified","Suberitidae sp. 2 JV-2020","ASV17"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Ancorinidae","unclassified","Stelletta sp. 1","ASV177"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon sp. 2 JV-2020","ASV178"
"Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","Biemna","Biemna fistulosa","ASV183"
"Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","unclassified","Suberitidae sp. 3 JV-2020","ASV190"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 1 JV-2020","ASV20"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 10 JV-2020","ASV204"
"Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","Tethya","Tethya sp. 6 JV-2020","ASV210"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale sp. 14 JV-2020","ASV211"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakina","Plakina sp. 1 JV-2020","ASV215"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 4 JV-2020","ASV221"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon caerulea","ASV224"
"Metazoa","Porifera","Demospongiae","Haplosclerida","unclassified","unclassified","Haliclona sp. 2 JV-2020","ASV227"
"Metazoa","Porifera","Demospongiae","Clionaida","Spirastrellidae","Spheciospongia","Spheciospongia solida","ASV228"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 3 JV-2020","ASV232"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 5 JV-2020","ASV237"
"Metazoa","Porifera","Demospongiae","Axinellida","Raspailiidae","Echinodictyum","Echinodictyum sp. 1 JV-2020","ASV241"
"Metazoa","Porifera","Demospongiae","Chondrillida","unclassified","unclassified","Chondrillida sp. 1 JV-2020","ASV242"
"Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Chelonaplysilla","Chelonaplysilla sp. 1 JV-2020","ASV248"
"Metazoa","Porifera","Demospongiae","Suberitida","unclassified","unclassified","Suberitida sp. 3 JV-2020","ASV25"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Ancorinidae","unclassified","Stelletta sp. 5","ASV259"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Coelosphaeridae","Lissodendoryx","Lissodendoryx sp. 1 JV-2020","ASV265"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale sp. 9 JV-2020","ASV266"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Crambeidae","Monanchora","Monanchora clathrata","ASV269"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 21 JV-2020","ASV270"
"Metazoa","Porifera","Demospongiae","Clionaida","Spirastrellidae","Spirastrella","Spirastrella sp. 1 JV-2020","ASV271"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 21 JV-2020","ASV278"
"Metazoa","Porifera","Demospongiae","Dendroceratida","unclassified","unclassified","Dendroceratida sp. 3 JV-2020","ASV284"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 9 JV-2020","ASV295"
"Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Chelonaplysilla","Chelonaplysilla sp. 3 JV-2020","ASV296"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 1 JV-2020","ASV3"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Tedaniidae","Tedania","Tedania cf. klausi JV-2020","ASV302"
"Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","Suberites","Suberites sp. 1 JV-2020","ASV304"
"Metazoa","Porifera","Calcarea","Clathrinida","unclassified","unclassified","Clathrinida sp. 1 JV-2020","ASV306"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","unclassified","Dysideidae sp. 1 JV-2020","ASV307"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Coelosphaeridae","Lissodendoryx","Lissodendoryx hawaiiana","ASV314"
"Metazoa","Porifera","Calcarea","unclassified","unclassified","unclassified","Calcinea sp. 1 JV-2020","ASV317"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Tedaniidae","Tedania","Tedania sp. 1 JV-2020","ASV319"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 4 JV-2020","ASV322"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale sp. 4 JV-2020","ASV335"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona laubenfelsi","ASV35"
"Metazoa","Porifera","Demospongiae","Clionaida","unclassified","unclassified","Clionaida sp. 2 JV-2020","ASV367"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Hymeniacidon","Hymeniacidon sp. 5 JV-2020","ASV37"
"Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Aplysilla","Aplysilla rosea","ASV377"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Theonellidae","Racodiscula","Racodiscula asteroides","ASV386"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 1 JV-2020","ASV399"
"Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","unclassified","Suberitidae sp. 1 JV-2020","ASV4"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 1 JV-2020","ASV40"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 3 JV-2020","ASV402"
"Metazoa","Porifera","Calcarea","Clathrinida","unclassified","unclassified","Clathrinida sp. 2 JV-2020","ASV403"
"Metazoa","Porifera","Demospongiae","Tethyida","Tethyidae","unclassified","Tethyidae sp. 1 JV-2020","ASV420"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 3 JV-2020","ASV433"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 10 JV-2020","ASV444"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 3 JV-2020","ASV461"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Ancorinidae","unclassified","Ancorinidae sp. 8 JV-2020","ASV469"
"Metazoa","Porifera","Demospongiae","Haplosclerida","unclassified","unclassified","Haplosclerida sp. 8 JV-2020","ASV474"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 7 JV-2020","ASV48"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 11 JV-2020","ASV49"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 9 JV-2020","ASV491"
"Metazoa","Porifera","Demospongiae","unclassified","unclassified","unclassified","Keratosa sp. 2 JV-2020","ASV511"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 2 JV-2020","ASV513"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria sp. 4 JV-2020","ASV522"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 8 JV-2020","ASV523"
"Metazoa","Porifera","Demospongiae","Haplosclerida","unclassified","unclassified","Haplosclerida sp. 2 JV-2020","ASV611"
"Metazoa","Porifera","Demospongiae","Bubarida","Dictyonellidae","Dictyonella","Bubarida sp. 1 JV-2020","ASV619"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakinastrella","Plakinastrella sp. 1 JV-2020","ASV624"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Niphatidae","Gelliodes","Gelliodes wilsoni","ASV652"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 10 JV-2020","ASV672"
"Metazoa","Porifera","Demospongiae","Chondrillida","unclassified","unclassified","Chondrillida sp. 3 JV-2020","ASV697"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 3 JV-2020","ASV71"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 12 JV-2020","ASV720"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 19 JV-2020","ASV723"
"Metazoa","Porifera","Calcarea","Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 4 JV-2020","ASV8"
"Metazoa","Porifera","Calcarea","Leucosolenida","unclassified","unclassified","Leucosolenida sp. 13 JV-2020","ASV8000"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","unclassified","Chalinidae sp. 2 JV-2020","ASV81"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 7 JV-2020","ASV87"
"Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Cladocroce","Cladocroce sp. 1 JV-2020","ASV91"
"Metazoa","Porifera","Demospongiae","Dictyoceratida","Irciniidae","Ircinia","Ircinia sp. 2 JV-2020","ASV95"
"Metazoa","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria coerulea","ASV10000"
"Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale cecilia","ASV10002"
"Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Chelonaplysilla","Chelonaplysilla erecta","ASV10012"
"Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","Sigmaxinella","Sigmaxinella hipposiderus","ASV10016"
"Metazoa","Porifera","Demospongiae","Dendroceratida","Darwinellidae","Dendrilla","Dendrilla sp. FAR-2016","ASV10025"
"Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae","Protosuberites","Protosuberites denhartogi","ASV10035"
"Metazoa","Porifera","Homoscleromorpha","Homosclerophorida","Plakinidae","Plakortis","Plakortis sp. 1 JV-2020","ASV10052"
"Metazoa","Porifera","Demospongiae","Tetractinellida","Tetillidae","Cinachyra","Cinachyra sp. CJ-2016","ASV10076"
"Metazoa","Porifera",NA,"Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 2 JV-2020","ASV20000"
"Metazoa","Porifera",NA,"Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 4 JV-2020","ASV20001"
"Metazoa","Porifera",NA,"Poecilosclerida","Coelosphaeridae","Lissodendoryx","Lissodendoryx sp. 2 JV-2020","ASV20002"
"Metazoa","Porifera",NA,"Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 1 JV-2020","ASV20003"
"Metazoa","Porifera",NA,"Leucosolenida","unclassified","unclassified","Leucosolenida sp. 2 JV-2020","ASV20004"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 1 JV-2020","ASV20005"
"Metazoa","Porifera",NA,"Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 3 JV-2020","ASV20006"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 3 JV-2020","ASV20007"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 6 JV-2020","ASV20008"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 7 JV-2020","ASV20009"
"Metazoa","Porifera",NA,"Tetractinellida","Ancorinidae","unclassified","Stelletta sp. 3","ASV20010"
"Metazoa","Porifera",NA,"Tethyida","Tethyidae","Tethya","Tethya sp. 2 JV-2020","ASV20011"
"Metazoa","Porifera",NA,"Tethyida","Tethyidae","Tethya","Tethya sp. 4 JV-2020","ASV20012"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitidae sp. 4 JV-2020","ASV20013"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitidae sp. 5 JV-2020","ASV20014"
"Metazoa","Porifera",NA,"Suberitida","Suberitida incertae sedis","Terpios","Terpios sp. 1 JV-2020","ASV20015"
"Metazoa","Porifera",NA,"unclassified","unclassified","Verongimorpha","Verongimorpha sp. 1 JV-2020","ASV20016"
"Metazoa","Porifera",NA,"Leucosolenida","unclassified","unclassified","Leucosolenida sp. 9 JV-2020","ASV20017"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 21","ASV20018"
"Metazoa","Porifera",NA,"Haplosclerida","Chalinidae","Haliclona","Haliclona (Soestella) caerulea","ASV20019"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Dysidea","Dysidea cf. arenaria cf. JV-2020","ASV20020"
"Metazoa","Porifera",NA,"Poecilosclerida","Mycalidae","Mycale","Mycale parishii","ASV20021"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitidae sp. 6 JV-2020","ASV20022"
"Metazoa","Porifera",NA,"Haplosclerida","unclassified","unclassified","Haplosclerida sp. 15 JV-2020","ASV20023"
"Metazoa","Porifera",NA,"Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 11 JV-2020","ASV20024"
"Metazoa","Porifera",NA,"Poecilosclerida","Mycalidae","Mycale","Mycale sp. 15 JV-2020","ASV20025"
"Metazoa","Porifera",NA,"Poecilosclerida","Iotrochotidae","Iotrochota","Iotrochota protea","ASV20026"
"Metazoa","Porifera",NA,"Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 6 JV-2020","ASV20027"
"Metazoa","Porifera",NA,"Poecilosclerida","unclassified","unclassified","Poecilosclerida sp. 12 JV-2020","ASV20028"
"Metazoa","Porifera",NA,"Axinellida","Raspailiidae","unclassified","Raspailiidae sp. 2 JV-2020","ASV20029"
"Metazoa","Porifera",NA,"Tethyida","Tethyidae","Tethya","Tethya sp. 1 JV-2020","ASV20030"
"Metazoa","Porifera",NA,"Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 5 JV-2020","ASV20031"
"Metazoa","Porifera",NA,"Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 6 JV-2020","ASV20032"
"Metazoa","Porifera",NA,"Dictyoceratida","unclassified","unclassified","Dictyoceratida sp. 2 JV-2020","ASV20033"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 6 JV-2020","ASV20034"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Lamellodysidea","Lamellodysidea cf. chlorea JV-2020","ASV20035"
"Metazoa","Porifera",NA,"Dictyoceratida","Dysideidae","Dysidea","Dysidea sp. 9 JV-2020","ASV20036"
"Metazoa","Porifera",NA,"Chondrosiida","unclassified","unclassified","Chondrosiida sp. 1 JV-2020","ASV20037"
"Metazoa","Porifera",NA,"Verongiida","Pseudoceratinidae","Pseudoceratina","Pseudoceratina sp. 1 JV-2020","ASV20038"
"Metazoa","Porifera",NA,"Clathrinida","Lecuettidae","unclassified","Leucettidae sp. 3 JV-2020","ASV20039"
"Metazoa","Porifera",NA,"Clathrinida","Clathrinidae","unclassified","Clathrinidae sp. 11 JV-2020","ASV20040"
"Metazoa","Porifera",NA,"Leucosolenida","unclassified","unclassified","Leucosolenida sp. 20 JV-2020","ASV20041"
"Metazoa","Porifera",NA,"Homosclerophorida","Oscarellidae","Oscarella","Oscarella sp. 7 JV-2020","ASV20042"
"Metazoa","Porifera",NA,"Homosclerophorida","Plakinidae","Corticium","Corticium sp. 1 JV-2020","ASV20043"
"Metazoa","Porifera",NA,"Suberitida","Suberitidae","unclassified","Suberitida sp. 4 JV-2020","ASV20044"
